handle,threshold,ari,f1,am,hm,hm2,time
ru_train_model_setu4993_LEALLA-large_clusterings_5,0.9,0.077,0.001,0.039,0.002,0.005,454.161
ru_train_model_setu4993_LEALLA-large_clusterings_5,1,0.077,0.001,0.039,0.002,0.005,458.071
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means,0.8,0.077,0.001,0.039,0.002,0.005,454.945
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means,0.9,0.077,0.001,0.039,0.002,0.005,457.095
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means,1,0.077,0.001,0.039,0.002,0.005,455.234
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_non-greedy,0.8,0.077,0.001,0.039,0.002,0.005,431.718
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_non-greedy,0.9,0.077,0.001,0.039,0.002,0.005,430.811
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_non-greedy,1,0.077,0.001,0.039,0.002,0.005,432.365
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_no-pooling,0.8,0.076,0.001,0.0385,0.002,0.005,431.386
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_no-pooling,0.9,0.076,0.001,0.0385,0.002,0.005,431.18
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_no-pooling,1,0.076,0.001,0.0385,0.002,0.005,431.552
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_no-pooling_non-greedy,0,0.076,0.001,0.0385,0.002,0.005,187.05
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_no-pooling_non-greedy,0.1,0.076,0.001,0.0385,0.002,0.005,187.788
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_no-pooling_non-greedy,0.2,0.076,0.001,0.0385,0.002,0.005,186.485
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_no-pooling_non-greedy,0.3,0.076,0.001,0.0385,0.002,0.005,187.332
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_no-pooling_non-greedy,0.4,0.076,0.001,0.0385,0.002,0.005,186.567
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_no-pooling_non-greedy,0.5,0.076,0.001,0.0385,0.002,0.005,187.81
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_no-pooling_non-greedy,0.6,0.076,0.001,0.0385,0.002,0.005,186.894
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_no-pooling_non-greedy,0.7,0.076,0.001,0.0385,0.002,0.005,187.301
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_no-pooling_non-greedy,0.8,0.076,0.001,0.0385,0.002,0.005,187.911
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_no-pooling_non-greedy,0.9,0.076,0.001,0.0385,0.002,0.005,188.374
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_no-pooling_non-greedy,1,0.076,0.001,0.0385,0.002,0.005,188.238
ru_train_model_setu4993_LEALLA-large,0.7,0.051,0.001,0.026,0.002,0.005,446.63
ru_train_model_setu4993_LEALLA-large,0.8,0.051,0.001,0.026,0.002,0.005,447.935
ru_train_model_setu4993_LEALLA-large,0.9,0.051,0.001,0.026,0.002,0.005,443.485
ru_train_model_setu4993_LEALLA-large,1,0.051,0.001,0.026,0.002,0.005,445.614
